id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,ano_arquivo
144075.0,2018-04-12,quinta-feira,16:30:00,SC,282,0.5,FLORIANOPOLIS,Desobediência às normas de trânsito pelo condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Aclive,Não,4,0,4,0,0,0,4,2,-27.59845,-48.571995,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2018
144278.0,2018-07-03,terça-feira,19:30:00,SC,282,1.0,FLORIANOPOLIS,Falta de Atenção à Condução,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Não,2,0,1,0,1,0,1,2,-27.60362195,-48.58347952,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2018
144371.0,2018-07-04,quarta-feira,09:45:00,SC,282,307.9,VARGEM,Pista Escorregadia,Saída de leito carroçável,Sem Vítimas,Pleno dia,Decrescente,Garoa/Chuvisco,Simples,Aclive;Curva,Não,1,0,0,0,1,0,0,1,-27.49096,-50.97233,SPRF-SC,DEL07-SC,UOP06-DEL07-SC,2018
144394.0,2018-07-04,quarta-feira,12:05:00,SC,282,502.7,XANXERE,Desobediência às normas de trânsito pelo condutor,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Reta;Declive,Sim,2,0,1,0,1,0,1,2,-26.88537804,-52.39339113,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2018
144401.0,2018-07-04,quarta-feira,12:46:00,SC,282,6.0,SAO JOSE,Falta de Atenção à Condução,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Curva,Sim,2,0,1,0,1,0,1,2,-27.591936,-48.618244,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2018
144430.0,2018-07-04,quarta-feira,15:30:00,SC,282,5.5,SAO JOSE,Falta de Atenção à Condução,Atropelamento de Pedestre,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Curva,Não,2,0,2,0,0,0,2,2,-27.58784292,-48.61530125,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2018
144495.0,2018-07-04,quarta-feira,12:53:00,SC,282,574.8,PINHALZINHO,Desobediência às normas de trânsito pelo condutor,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,2,0,1,0,1,0,1,2,-26.8642672,-52.9726932,SPRF-SC,DEL07-SC,UOP02-DEL07-SC,2018
144498.0,2018-07-04,quarta-feira,21:45:00,SC,282,383.9,JOACABA,Falta de Atenção à Condução,Saída de leito carroçável,Com Vítimas Fatais,Plena Noite,Crescente,Nublado,Simples,Ponte,Não,1,1,0,0,0,0,0,1,-27.20094829,-51.50810876,SPRF-SC,DEL07-SC,UOP05-DEL07-SC,2018
144539.0,2018-07-05,quinta-feira,08:10:00,SC,282,3.0,FLORIANOPOLIS,Falta de Atenção à Condução,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,Sim,3,0,1,0,2,0,1,2,-27.600384,-48.599705,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2018
144546.0,2018-06-27,quarta-feira,12:00:00,SC,282,16.0,PALHOCA,Falta de Atenção à Condução,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Ignorado,Simples,Reta,Não,2,0,0,1,1,0,1,2,-27.658611,-48.681847,SPRF-SC,DEL01-SC,UOP02-DEL01-SC,2018
