id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,ano_arquivo
"665919,0",2025-03-08,sábado,10:15:00,SC,282,"557,0",NOVA ITABERABA,Ingestão de álcool pelo condutor,Capotamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Declive;Curva,Não,1,0,0,1,0,0,1,1,-26.92907972,-52.8436985,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2025
"665920,0",2025-03-08,sábado,11:00:00,SC,280,"47,0",GUARAMIRIM,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta;Em Obras,Não,2,0,1,0,1,0,1,2,-26.453235,-48.912664,SPRF-SC,DEL03-SC,UOP03-DEL03-SC,2025
"665938,0",2025-03-08,sábado,13:35:00,SC,101,"202,0",SAO JOSE,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Aclive;Reta,Sim,2,0,1,0,1,0,1,2,-27.55195445,-48.61981088,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2025
"665942,0",2025-03-08,sábado,07:45:00,SC,282,"633,1",DESCANSO,Velocidade Incompatível,Saída de leito carroçável,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Declive;Curva,Não,2,0,0,0,2,0,0,1,-26.82579949,-53.41356817,SPRF-SC,DEL07-SC,UOP03-DEL07-SC,2025
"665952,0",2025-03-08,sábado,14:20:00,SC,101,"232,1",PALHOCA,Reação tardia ou ineficiente do condutor,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Aclive;Reta,Não,4,0,1,1,2,0,2,2,-27.793915,-48.638155,SPRF-SC,DEL01-SC,UOP02-DEL01-SC,2025
"665955,0",2025-03-08,sábado,14:00:00,SC,101,"119,0",ITAJAI,Acesso irregular,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Interseção de Vias;Reta,Sim,2,0,1,0,1,0,1,2,-26.94802427,-48.68338515,SPRF-SC,DEL04-SC,UOP04-DEL04-SC,2025
"665963,0",2025-03-08,sábado,15:39:00,SC,280,"30,0",ARAQUARI,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Reta,Sim,3,0,2,0,1,0,2,2,-26.41479,-48.76453,SPRF-SC,DEL03-SC,UOP03-DEL03-SC,2025
"665977,0",2025-03-08,sábado,16:20:00,SC,101,"161,0",TIJUCAS,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,2,0,1,1,0,0,2,2,-27.21952522,-48.6258316,SPRF-SC,DEL04-SC,UOP03-DEL04-SC,2025
"665981,0",2025-03-08,sábado,17:10:00,SC,280,"22,0",ARAQUARI,Reação tardia ou ineficiente do condutor,Engavetamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,5,0,2,0,3,0,2,4,-26.370979,-48.70286,SPRF-SC,DEL03-SC,UOP03-DEL03-SC,2025
"665990,0",2025-03-08,sábado,18:00:00,SC,101,"195,9",BIGUACU,Animais na Pista,Atropelamento de Animal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Sim,3,0,3,0,0,0,3,1,-27.51004,-48.64365,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2025
"665991,0",2025-03-08,sábado,17:30:00,SC,116,"251,4",LAGES,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Interseção de Vias,Não,2,0,1,0,1,0,1,2,-27.84676468,-50.37887514,SPRF-SC,DEL05-SC,UOP02-DEL05-SC,2025
"665995,0",2025-03-08,sábado,19:30:00,SC,101,"6,0",BIGUACU,Animais na Pista,Atropelamento de Animal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Sim,1,0,1,0,0,0,1,1,-27.41829059,-48.7086153,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2025
